sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
127.85115,208.47105,21.918552,0.3589992957359225,113.35887,226.23273,21.208359,0.881852021834041,187.75424,169.25426,87.81263,79.41707,134.02824,102.03787,127.85115,113.35887,0,1309,2ABA128,17,57.017414,50.336105,127.85115,0.11622395612805313
60.390923,123.51149,26.46532,0.31304355441871834,292.86328,322.06464,18.140606,0.6021111215354849,131.24123,103.720375,41.72347,325.82443,139.73657,429.1458,60.390923,292.86328,1,228,2ABA030,82,36.57508,47.29704,60.390923,0.19046948473017053
100.37706,179.96559,23.195679,0.31894349557659,195.36374,272.94446,19.577982,0.6674678615443722,154.78902,147.35158,78.23347,211.73145,118.436455,256.05984,100.37706,195.36374,2,51,2ABA006,57,59.374413,71.7646,100.37706,0.2351815591582214
131.46864,232.89279,20.956347,0.2527592548442428,250.97409,279.50906,19.37155,0.38598660327249174,302.40665,160.39525,86.34598,271.47217,161.04868,303.9342,131.46864,250.97409,3,1518,2ABA132,75,35.595547,48.784378,131.46864,0.02457752379700351
67.83254,131.49445,25.921318,0.25648532381654426,255.1945,297.32468,18.834848,0.6504107543607848,55.279247,77.386314,53.240967,250.45566,299.83548,595.6728,67.83254,255.1945,4,563,2ABA068,26,32.356014,49.94088,67.83254,0.2651681092419277
63.447563,132.9414,25.826263,0.35382173378610826,219.16425,249.01698,20.37489,0.5510576903938915,171.74672,111.16385,44.813442,224.12721,161.16444,404.6689,63.447563,219.16425,5,501,2ABA064,41,26.666828,49.805958,63.447563,0.08740465261773438
91.13045,139.50412,25.407726,0.3644366384046498,109.66853,159.0093,24.271019,0.7877058238172644,76.76679,117.76291,89.09733,97.33996,174.92299,234.37148,91.13045,109.66853,6,457,2ABA056,85,58.34326,67.931,91.13045,-0.08442364925210011
78.2602,169.65506,23.708132,0.34226273761736076,253.54597,301.29608,18.719597,0.5680323344256373,264.877,201.53993,41.82063,230.50256,286.26202,574.7841,78.2602,253.54597,7,285,2ABA033,62,27.841066,39.925095,78.2602,0.08511118131327516
92.25775,169.87343,23.696959,0.2911844868524728,266.30765,291.4239,19.008965,0.39835054465761205,239.39893,130.38103,71.42554,280.14786,101.5549,336.157,92.25775,266.30765,8,1508,2ABA132,65,23.389496,37.58997,92.25775,0.22583836209228977
87.67344,187.04681,22.860462,0.28990754304735583,347.5966,382.20837,16.653463,0.5733587393690163,357.75827,116.36144,45.160267,376.27982,143.03664,530.7206,87.67344,347.5966,9,209,2ABA030,63,28.901466,42.389538,87.67344,0.12973313618317056
69.5214,128.10313,26.148273,0.29980477669090466,164.70538,194.41516,22.524864,0.6425773210246326,172.45818,90.329384,47.863094,166.08899,204.10043,323.89316,69.5214,164.70538,10,1385,2ABA130,18,26.584164,47.530685,69.5214,0.09773217637976245
122.490295,222.71986,21.344288,0.26216150839553276,258.83685,287.29913,19.132782,0.38372022814787976,302.77957,168.72372,80.79947,274.24484,172.58527,336.437,122.490295,258.83685,11,1516,2ABA132,73,22.905714,28.07925,122.490295,0.060739848525022365
67.32685,101.565155,28.164576,0.27988369290343273,279.5563,305.67062,18.594395,0.5703879613738988,73.796906,99.44993,62.533585,283.93356,219.80101,488.71075,67.32685,279.5563,12,1116,2ABA104,50,22.57677,34.361107,67.32685,0.13809024285639712
71.547806,150.25153,24.76309,0.2897320135647325,342.2525,366.12006,17.026997,0.5890224240571679,259.2049,160.04013,53.650486,346.73932,181.11485,620.1031,71.547806,342.2525,13,178,2ABA030,32,25.60717,43.530483,71.547806,0.2736028285254521
165.09961,325.1293,18.058346,0.31895412861975214,180.4393,323.52737,18.101246,0.7674113769359434,347.4315,338.36456,76.117874,101.57549,238.27127,312.89905,165.09961,180.4393,14,1209,2ABA114,69,49.615833,61.5919,165.09961,-0.028858628518097375
