sct_mae_hu,sct_rmse_hu,sct_psnr,sct_ssim,raw_cbct_mae_hu,raw_cbct_rmse_hu,raw_cbct_psnr,raw_cbct_ssim,sct_mae_air_lung_hu,raw_cbct_mae_air_lung_hu,sct_mae_soft_tissue_hu,raw_cbct_mae_soft_tissue_hu,sct_mae_bone_hu,raw_cbct_mae_bone_hu,sct_mae_body_hu,raw_cbct_mae_body_hu,sample_counter,dataset_index,patient_id,slice_index,mean_uncertainty_hu,std_uncertainty_hu,mean_error_hu,error_uncertainty_corr
204.82031,353.3804,17.334618,0.3219778137178451,130.26376,237.17513,20.798084,0.858307924208388,369.69647,196.93102,109.103195,91.28965,89.524124,93.12138,204.82031,130.26376,27,1330,2ABA128,38,35.915985,40.144447,204.82031,0.005835332628002862
204.33806,339.36285,17.68618,0.32583224776819825,122.8182,223.84282,21.300604,0.8760536594099452,373.29276,191.1391,101.37101,81.59823,72.099815,63.86804,204.33806,122.8182,82,1327,2ABA128,35,45.489895,48.672264,204.33806,0.0005537487970947609
192.57156,348.9133,17.445118,0.21740424655254012,260.0832,351.52502,17.380342,0.6263073613167438,606.3766,523.7518,59.36033,173.47371,195.07346,283.2449,192.57156,260.0832,38,696,2ABA075,7,27.962086,41.3042,192.57156,-0.013640533062779568
165.09961,325.1293,18.058346,0.31895412861975214,180.4393,323.52737,18.101246,0.7674113769359434,347.4315,338.36456,76.117874,101.57549,238.27127,312.89905,165.09961,180.4393,14,1209,2ABA114,69,49.615833,61.5919,165.09961,-0.028858628518097375
163.75603,326.1967,18.029877,0.3287456347871546,184.8934,318.02448,18.250257,0.7501474265096433,333.53168,330.2684,81.07964,114.19647,110.81698,137.79962,163.75603,184.8934,32,1206,2ABA114,66,50.518795,58.39829,163.75603,-0.011434979135265085
